adult,backdrop_path,id,title,original_title,overview,poster_path,media_type,original_language,genre_ids,popularity,release_date,softcore,video,vote_average,vote_count
False,/rZfmzpixLKLR3Hg2u0WgC7XLFl8.jpg,1339713,Obsession,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,movie,en,"[27, 53]",722.1192,2026-05-13,False,False,8.273,2453
False,/1AVF2fAevpfi2HP6AEpptG1kg8R.jpg,1280738,The Furious,火遮眼,"After Wang Wei's daughter is kidnapped by a criminal network and he receives no help from the corrupt police, Wei sets out to find her himself. His only ally is Navin, a relentless journalist whose wife has mysteriously disappeared. Fueled by a furious vengeance, the unlikely duo ruthlessly battle the kidnappers in this explosive martial arts showdown.",/zP19YO60jwEsfKd5Qf1UvA5uJu8.jpg,movie,zh,"[28, 80, 53]",275.0029,2026-06-10,False,False,7.6,119
False,/c6BPbkO5Npt1OdwttAxCFo06wtH.jpg,1108427,Moana,Moana,"Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with the infamous demigod Maui on an unforgettable journey to restore prosperity to her people.",/zKVgiv5qHCvCLT4A2ymJi5QeXDH.jpg,movie,en,"[10751, 14, 35, 12]",98.5184,2026-07-08,False,False,4.758,33
False,/A5Tz6ogGt4VV8NESG9oWVct5bo1.jpg,1212763,Evil Dead Burn,Evil Dead Burn,"After the loss of her husband, a woman seeks solace with her in-laws. As one by one they transform into deadites, she comes to discover that the vows she took in life - survive even in death.",/ztadKzIIR0ERYqpHteaPFtk7inP.jpg,movie,en,"[27, 53]",58.8586,2026-07-07,False,False,7.3,25
False,/m3Pom6pbD51bBv3syz8NMHda3fz.jpg,1368337,The Odyssey,The Odyssey,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,movie,en,"[12, 28, 14]",95.9651,2026-07-15,False,False,5.5,4
False,/mCpwRayjXMFzKHbjbzc5JRKfq1O.jpg,1083381,Backrooms,Backrooms,A strange doorway appears in the basement of a furniture showroom.,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,movie,en,"[27, 9648, 878]",466.6709,2026-05-27,False,False,6.82,959
False,/6tByIjKn3VLEVHhfpiNNWrnSIOM.jpg,1710008,Nothing to Lose,Jusqu'au bout,"She gave everything to become a mother, so when her young son falls ill, Jada will stop at  nothing to find a donor and save him — no matter the cost.",/3SKN8QZptMm8KfCCQtEmyh1Zkgz.jpg,movie,fr,"[18, 28]",28.5307,2026-07-08,False,False,4.25,12
False,/3pDfu71mrzSuFYyIfnKEjt8z4BC.jpg,1368314,Passenger,Passenger,"After a young couple witnesses a gruesome highway accident, they soon realize they did not leave the crash scene alone, as a demonic presence called the Passenger that won't stop until it claims them both turns their van life adventure into a nightmare.",/2sOEJzhPzjTkZSlPbGxOJ7xgIyS.jpg,movie,en,"[27, 53]",184.6921,2026-05-20,False,False,5.721,147
False,/qjTqY5coNiz6sVtPng40IzltsoN.jpg,1084244,Toy Story 5,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,movie,en,"[16, 10751, 35, 12]",658.6359,2026-06-17,False,False,7.4,538
False,/i5E9H7Ik0u61ylDDTbmUpTL3Yw.jpg,1170608,Dune: Part Three,Dune: Part Three,"As Emperor, Paul Atreides grapples with the consequences of his rise to power as political conspiracies and a galaxy-spanning holy war threaten the future he alone can foresee.",/d43fvHQsIMa4kpyhKXw0haEJIvI.jpg,movie,en,"[28, 12, 878]",18.7772,2026-12-16,False,False,0.0,0
False,/vjMvFSmGUxEtqVdaZgvFee9XkZl.jpg,969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,/yyB2VJEW3an2xCdcYCPQhn9QERR.jpg,movie,en,"[878, 28, 12]",88.2917,2026-07-29,False,False,0.0,0
