iter	RMSE
0	16629.46884
1	16190.38492
2	15807.74024
3	15441.56333
4	15011.50043
5	14599.26067
6	14254.20136
7	13941.93353
8	13599.38334
9	13278.83396
10	12960.98856
11	12633.61739
12	12344.39727
13	11997.76153
14	11781.40257
15	11547.09076
16	11283.17683
17	11058.78348
18	10849.88689
19	10615.95739
20	10373.92112
21	10195.01948
22	10053.76198
23	9866.664637
24	9710.022067
25	9542.825493
26	9372.212643
27	9245.344475
28	9079.389301
29	8885.533758
30	8728.903917
31	8598.734141
32	8469.323564
33	8342.450233
34	8221.646525
35	8111.19709
36	7996.978069
37	7903.620068
38	7810.656192
39	7708.986355
40	7587.707184
41	7467.35204
42	7355.377525
43	7271.688731
44	7164.005779
45	7105.467455
46	7046.550886
47	6980.487982
48	6918.644004
49	6847.144427
50	6741.656905
51	6671.884543
52	6578.407992
53	6517.785507
54	6447.233595
55	6368.925097
56	6311.085375
57	6266.760243
58	6204.918876
59	6146.361669
60	6097.160242
61	6050.471226
62	6011.711988
63	5970.248215
64	5916.685233
65	5879.496252
66	5814.313409
67	5749.155869
68	5710.794249
69	5664.56835
70	5626.505739
71	5614.270931
72	5586.257805
73	5571.168497
74	5541.407509
75	5505.399248
76	5478.456428
77	5441.9895
78	5405.038425
79	5370.618833
80	5316.760809
81	5291.938835
82	5271.661597
83	5256.026933
84	5233.098653
85	5189.501689
86	5176.985931
87	5154.400802
88	5134.446673
89	5114.652966
90	5095.449663
91	5070.067056
92	5052.463968
93	5031.506588
94	4989.93436
95	4971.560797
96	4962.532899
97	4945.400107
98	4914.618491
99	4882.984828
100	4857.880995
101	4850.530179
102	4824.152594
103	4803.216984
104	4789.755115
105	4774.837955
106	4764.099126
107	4757.014192
108	4735.800383
109	4716.268515
110	4704.561178
111	4686.044109
112	4656.096513
113	4652.003173
114	4638.967112
115	4620.58279
116	4602.838778
117	4572.36957
118	4559.6618
119	4540.962661
120	4525.002582
121	4512.589143
122	4494.235492
123	4479.568939
124	4459.127234
125	4451.494919
126	4446.740245
127	4433.039195
128	4415.681151
129	4402.574685
130	4389.024716
131	4373.580671
132	4350.200222
133	4338.482123
134	4318.565969
135	4305.236566
136	4296.606518
137	4289.529202
138	4274.436033
139	4265.802839
140	4258.28309
141	4239.117607
142	4227.899562
143	4218.726006
144	4202.230813
145	4193.94515
146	4185.40167
147	4173.57961
148	4167.21914
149	4153.253337
150	4141.926701
151	4138.093335
152	4125.906751
153	4119.15134
154	4111.33623
155	4106.501089
156	4102.684758
157	4090.560396
158	4078.292878
159	4067.65956
160	4041.686841
161	4035.760282
162	4016.504668
