iter	Passed	Remaining
0	56	56145
1	56	28225
2	56	18926
3	57	14276
4	57	11480
5	58	9635
6	58	8303
7	58	7304
8	59	6530
9	59	5909
10	60	5409
11	60	4983
12	60	4626
13	61	4318
14	61	4054
15	62	3822
16	62	3616
17	62	3431
18	63	3270
19	63	3130
20	64	3004
21	64	2888
22	65	2776
23	65	2674
24	66	2580
25	66	2496
26	67	2416
27	67	2340
28	67	2271
29	68	2206
30	68	2145
31	68	2085
32	69	2029
33	69	1977
34	69	1927
35	70	1879
36	70	1835
37	70	1793
38	71	1755
39	71	1719
40	72	1685
41	72	1652
42	72	1620
43	73	1589
44	73	1560
45	74	1534
46	74	1511
47	74	1486
48	75	1461
49	75	1437
50	76	1414
51	76	1394
52	76	1374
53	77	1355
54	77	1336
55	78	1316
56	78	1298
57	78	1282
58	79	1264
59	79	1248
60	80	1234
61	80	1219
62	80	1204
63	81	1190
64	81	1175
65	82	1162
66	82	1147
67	82	1134
68	83	1122
69	83	1111
70	84	1100
71	84	1087
72	84	1075
73	84	1062
74	85	1050
75	85	1039
76	85	1029
77	86	1019
78	86	1009
79	86	999
80	87	990
81	87	982
82	88	975
83	88	967
84	89	960
85	89	952
86	90	944
87	90	936
88	90	929
89	91	921
90	91	913
91	91	906
92	92	899
93	92	892
94	93	886
95	93	879
96	93	873
97	94	868
98	94	862
99	95	856
100	95	850
101	95	843
102	96	837
103	96	831
104	96	825
105	97	820
106	97	814
107	97	809
108	98	803
109	98	799
110	99	794
111	99	790
112	99	784
113	100	778
114	100	773
115	100	767
116	101	762
117	101	758
118	101	753
119	102	748
120	102	744
121	102	739
122	103	735
123	103	732
124	103	727
125	104	723
126	104	719
127	105	716
128	105	711
129	105	708
130	106	704
131	106	700
132	106	696
133	107	693
134	107	689
135	108	686
136	108	683
137	108	680
138	109	678
139	109	675
140	110	672
141	110	669
142	111	666
143	111	663
144	111	660
145	112	656
146	112	653
147	113	650
148	113	647
149	113	644
150	114	641
151	114	638
152	114	635
153	115	632
154	115	629
155	115	626
156	116	623
157	116	619
158	116	617
159	116	614
160	117	611
161	117	608
162	118	606
163	118	603
164	118	600
165	119	598
166	119	596
167	120	594
168	120	592
169	120	590
170	121	588
171	121	585
172	121	582
173	122	580
174	122	578
175	123	576
176	123	573
177	123	571
178	124	569
179	124	566
180	125	565
181	125	563
182	125	561
183	126	559
184	126	557
185	126	555
186	127	553
187	127	551
188	127	548
189	128	547
190	128	545
191	129	543
192	129	541
193	129	539
194	130	537
195	130	535
196	130	533
197	131	531
198	131	528
199	131	526
200	132	525
201	132	523
202	132	522
203	133	520
204	133	518
205	134	516
206	134	515
207	134	512
208	135	511
209	135	508
210	135	506
211	135	505
212	136	503
213	136	502
214	137	500
215	137	499
216	137	497
217	138	495
218	138	494
219	138	492
220	139	491
221	139	489
222	140	488
223	140	486
224	140	484
225	141	483
226	141	482
227	141	480
228	142	479
229	142	477
230	143	476
231	143	474
232	143	473
233	144	471
234	144	470
235	144	468
236	145	467
237	145	466
238	146	465
239	146	463
240	146	462
241	147	460
242	147	459
243	147	458
244	148	456
245	148	455
246	148	454
247	149	452
248	149	451
249	150	450
250	150	449
251	150	447
252	151	446
253	151	445
254	151	443
255	152	442
256	152	441
257	152	439
258	153	438
259	153	437
260	154	436
261	154	434
262	154	433
263	155	432
264	155	431
265	155	429
266	156	428
267	156	427
268	157	426
269	157	425
270	157	424
271	158	423
272	158	421
273	158	420
274	159	419
275	159	418
276	159	417
277	160	416
